run,config,seed,epoch,threshold,dice,traced
A_dice_clw1_s2,A_dice_clw1,2,10,0.425,0.8139939995638781,0.3730054856725992
A_dice_clw1_s2,A_dice_clw1,2,10,0.45,0.8148882155709174,0.360056499722039
A_dice_clw1_s2,A_dice_clw1,2,10,0.475,0.8154021631718844,0.35105809667061566
A_dice_clw1_s2,A_dice_clw1,2,10,0.5,0.8158139066958702,0.34030098677111853
A_dice_clw1_s2,A_dice_clw1,2,10,0.525,0.8159023758796454,0.3285490387832882
A_dice_clw1_s2,A_dice_clw1,2,10,0.55,0.8160353999127101,0.3180164150238228
A_dice_clw1_s2,A_dice_clw1,2,10,0.575,0.8157194336365164,0.3094541009825422
A_dice_clw1_s2,A_dice_clw1,2,10,0.6,0.815458277893603,0.30375342778637515
A_dice_clw1_s2,A_dice_clw1,2,10,0.625,0.8148557945110446,0.29453147145051883
A_dice_clw1_s2,A_dice_clw1,2,10,0.65,0.8140723928697405,0.27485052466657933
A_dice_clw1_s2,A_dice_clw1,2,10,0.675,0.8129802359471342,0.2588191817588246
A_dice_clw1_s2,A_dice_clw1,2,10,0.7,0.8113153516291917,0.23944385690077793
A_dice_clw1_s2,A_dice_clw1,2,10,0.725,0.8094862542452278,0.22482069305916386
A_dice_clw1_s2,A_dice_clw1,2,10,0.75,0.8070187439509923,0.19990279076378265
A_dice_clw1_s2,A_dice_clw1,2,10,0.775,0.8037665163649416,0.19091740898904255
A_dice_clw1_s2,A_dice_clw1,2,10,0.8,0.7994393432631282,0.17728326560979601
A_dice_clw1_s2,A_dice_clw1,2,10,0.825,0.7938708850723762,0.15862097216658233
A_dice_clw1_s2,A_dice_clw1,2,10,0.85,0.7866076785374586,0.1371631368828106
A_dice_clw1_s2,A_dice_clw1,2,10,0.875,0.7769579272588869,0.12190688194725822
A_dice_clw1_s2,A_dice_clw1,2,10,0.9,0.7633314773646328,0.09583289899667366
A_dice_clw1_s3,A_dice_clw1,3,10,0.1,0.7801391392523316,0.5725714508669687
A_dice_clw1_s3,A_dice_clw1,3,10,0.125,0.7880244445816871,0.5526295863016525
A_dice_clw1_s3,A_dice_clw1,3,10,0.15,0.7939664908702877,0.5351256037193569
A_dice_clw1_s3,A_dice_clw1,3,10,0.175,0.7984938958786627,0.4974141410754389
A_dice_clw1_s3,A_dice_clw1,3,10,0.2,0.8021456241302795,0.48328858998123514
A_dice_clw1_s3,A_dice_clw1,3,10,0.225,0.8051249329062556,0.4653823117059085
A_dice_clw1_s3,A_dice_clw1,3,10,0.25,0.8075018100046508,0.4540821572997739
A_dice_clw1_s3,A_dice_clw1,3,10,0.275,0.8096659447059212,0.4385240971152026
A_dice_clw1_s3,A_dice_clw1,3,10,0.3,0.811344534742272,0.4309569367884128
A_dice_clw1_s3,A_dice_clw1,3,10,0.325,0.8129304344265651,0.41147010518478194
A_dice_clw1_s3,A_dice_clw1,3,10,0.35,0.8140451315132792,0.40509021533399714
A_dice_clw1_s3,A_dice_clw1,3,10,0.375,0.8151065659229967,0.39353723366808413
A_dice_clw1_s3,A_dice_clw1,3,10,0.4,0.8158856724123796,0.37094895034099523
A_dice_clw1_s3,A_dice_clw1,3,10,0.425,0.8164501690576144,0.35996550785352976
A_dice_clw1_s3,A_dice_clw1,3,10,0.45,0.8169127521330422,0.34790751840474315
A_dice_clw1_s3,A_dice_clw1,3,10,0.475,0.817248221623859,0.3386624826469942
A_dice_clw1_s3,A_dice_clw1,3,10,0.5,0.8173239428148701,0.3302796701558219
A_dice_clw1_s3,A_dice_clw1,3,10,0.525,0.8171973817135108,0.32052916725945707
A_dice_clw1_s3,A_dice_clw1,3,10,0.55,0.8170198458601035,0.30012072858412436
A_dice_clw1_s3,A_dice_clw1,3,10,0.575,0.8167916699562269,0.29057961556550455
A_dice_clw1_s3,A_dice_clw1,3,10,0.6,0.8162202946285161,0.27981207864435675
A_dice_clw1_s3,A_dice_clw1,3,10,0.625,0.8153937466463661,0.2637350934377383
A_dice_clw1_s3,A_dice_clw1,3,10,0.65,0.8145283468788044,0.2558121182926403
A_dice_clw1_s3,A_dice_clw1,3,10,0.675,0.8131517782589365,0.24224425341359496
A_dice_clw1_s3,A_dice_clw1,3,10,0.7,0.8114631209881674,0.23181107920966074
A_dice_clw1_s3,A_dice_clw1,3,10,0.725,0.809614165920887,0.2159176550684863
A_dice_clw1_s3,A_dice_clw1,3,10,0.75,0.8073602177944046,0.20195426708393788
A_dice_clw1_s3,A_dice_clw1,3,10,0.775,0.8040328324510887,0.1918494906327166
A_dice_clw1_s3,A_dice_clw1,3,10,0.8,0.7998488271283136,0.17221390878655923
