run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw1_s0,A_dice_clw1,0,90,02,0.84216,0.84621,92.0,4549.442,9289
A_dice_clw1_s0,A_dice_clw1,0,90,03,0.79012,0.7634,138.0,689.631,9221
A_dice_clw1_s0,A_dice_clw1,0,90,04,0.82177,0.78869,84.0,2566.218,8926
A_dice_clw1_s0,A_dice_clw1,0,90,05,0.80399,0.77584,85.0,2436.873,9586
A_dice_clw1_s0,A_dice_clw1,0,90,06,0.78728,0.75818,99.0,1991.036,9989
A_dice_clw1_s0,A_dice_clw1,0,90,07,0.79872,0.78164,117.0,2425.831,8968
A_dice_clw1_s0,A_dice_clw1,0,90,08,0.78247,0.7605,122.0,739.788,8585
A_dice_clw1_s0,A_dice_clw1,0,90,09,0.78463,0.78075,92.0,823.802,8726
A_dice_clw1_s0,A_dice_clw1,0,90,10,0.79941,0.77447,97.0,1958.798,9137
A_dice_clw1_s0,A_dice_clw1,0,90,11,0.79928,0.77192,113.0,3004.739,10456
A_dice_clw1_s0,A_dice_clw1,0,90,12,0.8162,0.83568,86.0,1281.92,8712
A_dice_clw1_s0,A_dice_clw1,0,90,13,0.80755,0.78782,108.0,1341.477,10186
A_dice_clw1_s0,A_dice_clw1,0,90,14,0.8084,0.8172,101.0,1833.58,8358
A_dice_clw1_s0,A_dice_clw1,0,90,15,0.78545,0.80794,142.0,2673.815,7651
A_dice_clw1_s0,A_dice_clw1,0,90,16,0.82772,0.85639,86.0,3804.697,8812
A_dice_clw1_s0,A_dice_clw1,0,90,17,0.79834,0.81309,95.0,956.309,7984
A_dice_clw1_s0,A_dice_clw1,0,90,18,0.80787,0.84859,91.0,1405.526,7659
A_dice_clw1_s0,A_dice_clw1,0,90,19,0.83737,0.8669,97.0,4792.003,8476
A_dice_clw1_s0,A_dice_clw1,0,90,20,0.79745,0.82766,131.0,1262.888,7373
A_dice_clw1_s0,A_dice_clw1,0,100,01,0.81839,0.84303,83.0,3024.488,9312
A_dice_clw1_s0,A_dice_clw1,0,100,02,0.84324,0.83961,82.0,2286.21,9289
A_dice_clw1_s0,A_dice_clw1,0,100,03,0.77952,0.75384,131.0,544.834,9221
A_dice_clw1_s0,A_dice_clw1,0,100,04,0.82105,0.78767,65.0,2301.213,8926
A_dice_clw1_s0,A_dice_clw1,0,100,05,0.79886,0.77315,76.0,2172.704,9586
A_dice_clw1_s0,A_dice_clw1,0,100,06,0.77804,0.7499,112.0,737.465,9989
A_dice_clw1_s0,A_dice_clw1,0,100,07,0.79602,0.77809,96.0,1954.244,8968
A_dice_clw1_s0,A_dice_clw1,0,100,08,0.77462,0.75297,125.0,627.941,8585
A_dice_clw1_s0,A_dice_clw1,0,100,09,0.77157,0.77106,69.0,696.353,8726
A_dice_clw1_s0,A_dice_clw1,0,100,10,0.7936,0.76103,98.0,1553.032,9137
A_dice_clw1_s0,A_dice_clw1,0,100,11,0.80058,0.76647,91.0,1838.797,10456
A_dice_clw1_s0,A_dice_clw1,0,100,12,0.81128,0.82645,70.0,860.195,8712
A_dice_clw1_s0,A_dice_clw1,0,100,13,0.8034,0.78142,91.0,1130.059,10186
A_dice_clw1_s0,A_dice_clw1,0,100,14,0.81367,0.81502,103.0,1556.14,8358
A_dice_clw1_s0,A_dice_clw1,0,100,15,0.78785,0.80876,149.0,2829.194,7651
A_dice_clw1_s0,A_dice_clw1,0,100,16,0.82595,0.85417,85.0,3238.706,8812
A_dice_clw1_s0,A_dice_clw1,0,100,17,0.79163,0.80729,92.0,892.74,7984
A_dice_clw1_s0,A_dice_clw1,0,100,18,0.8107,0.85166,76.0,1213.01,7659
A_dice_clw1_s0,A_dice_clw1,0,100,19,0.84347,0.86604,98.0,2240.459,8476
A_dice_clw1_s0,A_dice_clw1,0,100,20,0.8017,0.83252,116.0,1106.13,7373
A_dice_clw1_s1,A_dice_clw1,1,10,01,0.82079,0.85763,90.0,4929.23,9312
A_dice_clw1_s1,A_dice_clw1,1,10,02,0.84352,0.85268,109.0,2539.592,9289
A_dice_clw1_s1,A_dice_clw1,1,10,03,0.7962,0.78369,120.0,942.972,9221
A_dice_clw1_s1,A_dice_clw1,1,10,04,0.8228,0.80504,87.0,2935.092,8926
A_dice_clw1_s1,A_dice_clw1,1,10,05,0.81185,0.7955,95.0,3147.98,9586
A_dice_clw1_s1,A_dice_clw1,1,10,06,0.79798,0.78161,123.0,2945.718,9989
A_dice_clw1_s1,A_dice_clw1,1,10,07,0.80915,0.80457,109.0,2771.963,8968
A_dice_clw1_s1,A_dice_clw1,1,10,08,0.79624,0.79296,103.0,503.353,8585
A_dice_clw1_s1,A_dice_clw1,1,10,09,0.79666,0.79949,103.0,1130.346,8726
A_dice_clw1_s1,A_dice_clw1,1,10,10,0.80494,0.79069,101.0,2954.414,9137
A_dice_clw1_s1,A_dice_clw1,1,10,11,0.80428,0.78443,117.0,3375.157,10456
A_dice_clw1_s1,A_dice_clw1,1,10,12,0.81988,0.84049,105.0,1963.036,8712
A_dice_clw1_s1,A_dice_clw1,1,10,13,0.80628,0.79294,132.0,1638.418,10186
A_dice_clw1_s1,A_dice_clw1,1,10,14,0.81295,0.82812,93.0,4288.424,8358
A_dice_clw1_s1,A_dice_clw1,1,10,15,0.78261,0.81047,136.0,3711.348,7651
A_dice_clw1_s1,A_dice_clw1,1,10,16,0.83845,0.86943,125.0,4301.053,8812
A_dice_clw1_s1,A_dice_clw1,1,10,17,0.81983,0.84248,135.0,1284.552,7984
A_dice_clw1_s1,A_dice_clw1,1,10,18,0.82336,0.87022,106.0,3819.523,7659
A_dice_clw1_s1,A_dice_clw1,1,10,19,0.84978,0.87397,99.0,4570.267,8476
A_dice_clw1_s1,A_dice_clw1,1,10,20,0.80726,0.8398,121.0,1176.745,7373
A_dice_clw1_s1,A_dice_clw1,1,20,01,0.82575,0.8599,69.0,4171.083,9312
A_dice_clw1_s1,A_dice_clw1,1,20,02,0.84296,0.84823,86.0,2550.448,9289
A_dice_clw1_s1,A_dice_clw1,1,20,03,0.79684,0.78961,97.0,1018.61,9221
A_dice_clw1_s1,A_dice_clw1,1,20,04,0.82092,0.80055,67.0,2710.83,8926
A_dice_clw1_s1,A_dice_clw1,1,20,05,0.80405,0.78622,84.0,1896.584,9586
A_dice_clw1_s1,A_dice_clw1,1,20,06,0.7914,0.77649,106.0,2411.424,9989
A_dice_clw1_s1,A_dice_clw1,1,20,07,0.8006,0.79755,88.0,2421.495,8968
A_dice_clw1_s1,A_dice_clw1,1,20,08,0.78864,0.78497,89.0,694.14,8585
A_dice_clw1_s1,A_dice_clw1,1,20,09,0.78947,0.79869,79.0,2366.865,8726
A_dice_clw1_s1,A_dice_clw1,1,20,10,0.80261,0.78449,103.0,2440.825,9137
A_dice_clw1_s1,A_dice_clw1,1,20,11,0.80653,0.78815,84.0,2995.106,10456
A_dice_clw1_s1,A_dice_clw1,1,20,12,0.81863,0.83364,92.0,1279.873,8712
A_dice_clw1_s1,A_dice_clw1,1,20,13,0.80711,0.79505,96.0,1334.816,10186
A_dice_clw1_s1,A_dice_clw1,1,20,14,0.80771,0.82126,88.0,3548.142,8358
A_dice_clw1_s1,A_dice_clw1,1,20,15,0.77383,0.80084,115.0,3643.766,7651
A_dice_clw1_s1,A_dice_clw1,1,20,16,0.83559,0.86553,100.0,2112.564,8812
A_dice_clw1_s1,A_dice_clw1,1,20,17,0.8127,0.83791,85.0,893.959,7984
A_dice_clw1_s1,A_dice_clw1,1,20,18,0.82356,0.86875,92.0,2785.013,7659
A_dice_clw1_s1,A_dice_clw1,1,20,19,0.85262,0.87593,72.0,3987.125,8476
A_dice_clw1_s1,A_dice_clw1,1,20,20,0.80493,0.83277,89.0,725.066,7373
A_dice_clw1_s1,A_dice_clw1,1,30,01,0.82295,0.86289,65.0,4244.547,9312
A_dice_clw1_s1,A_dice_clw1,1,30,02,0.84737,0.8531,65.0,2977.804,9289
A_dice_clw1_s1,A_dice_clw1,1,30,03,0.79468,0.78333,106.0,914.571,9221
A_dice_clw1_s1,A_dice_clw1,1,30,04,0.82525,0.79886,54.0,2646.935,8926
A_dice_clw1_s1,A_dice_clw1,1,30,05,0.80802,0.78714,70.0,1937.81,9586
A_dice_clw1_s1,A_dice_clw1,1,30,06,0.79641,0.77974,109.0,1206.811,9989
A_dice_clw1_s1,A_dice_clw1,1,30,07,0.80904,0.80041,98.0,2525.545,8968
A_dice_clw1_s1,A_dice_clw1,1,30,08,0.79096,0.78391,94.0,726.617,8585
A_dice_clw1_s1,A_dice_clw1,1,30,09,0.78945,0.78927,82.0,2217.864,8726
A_dice_clw1_s1,A_dice_clw1,1,30,10,0.80364,0.78716,79.0,2397.227,9137
A_dice_clw1_s1,A_dice_clw1,1,30,11,0.8082,0.7847,81.0,3013.68,10456
A_dice_clw1_s1,A_dice_clw1,1,30,12,0.82278,0.84185,77.0,1283.383,8712
A_dice_clw1_s1,A_dice_clw1,1,30,13,0.81336,0.79452,119.0,1756.743,10186
A_dice_clw1_s1,A_dice_clw1,1,30,14,0.81512,0.83255,81.0,3725.452,8358
A_dice_clw1_s1,A_dice_clw1,1,30,15,0.78078,0.80644,122.0,3704.585,7651
A_dice_clw1_s1,A_dice_clw1,1,30,16,0.83359,0.87092,87.0,2114.863,8812
A_dice_clw1_s1,A_dice_clw1,1,30,17,0.80969,0.83166,91.0,1209.967,7984
A_dice_clw1_s1,A_dice_clw1,1,30,18,0.81599,0.86794,88.0,3442.204,7659
A_dice_clw1_s1,A_dice_clw1,1,30,19,0.84851,0.87951,81.0,4019.378,8476
A_dice_clw1_s1,A_dice_clw1,1,30,20,0.80526,0.84541,87.0,1104.833,7373
A_dice_clw1_s1,A_dice_clw1,1,40,01,0.81792,0.86193,87.0,4387.549,9312
A_dice_clw1_s1,A_dice_clw1,1,40,02,0.84637,0.85248,86.0,4887.329,9289
