config,run,epoch,seed,field_arm,image,source,along,across,erl_split,erl_bridged,dice,fg
A_dice,A_dice_s8,10,8,H_aug_dir,05,raw,0.0,0.0,0.29493,0.46157,0.81114,27208
A_dice,A_dice_s8,10,8,H_aug_dir,05,isotropic,0.25,0.25,0.29493,0.46157,0.81114,27208
A_dice,A_dice_s8,10,8,H_aug_dir,05,isotropic,0.5,0.5,0.55087,0.56737,0.72787,46351
A_dice,A_dice_s8,10,8,H_aug_dir,05,isotropic,0.75,0.75,0.57829,0.58829,0.66583,54208
A_dice,A_dice_s8,10,8,H_aug_dir,05,isotropic,1.0,1.0,0.61156,0.61743,0.59573,64956
A_dice,A_dice_s8,10,8,H_aug_dir,05,isotropic,1.5,1.5,0.66452,0.6715,0.4887,87317
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.0,0.25,0.29493,0.46157,0.81114,27208
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.0,0.5,0.36211,0.49125,0.78628,34141
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.0,1.0,0.51424,0.54531,0.68037,51439
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.5,0.0,0.34891,0.48525,0.81699,28878
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.5,0.25,0.37971,0.50284,0.81574,30813
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.5,0.5,0.54809,0.5658,0.73609,45331
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,0.5,1.0,0.57781,0.59037,0.63023,59064
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.0,0.0,0.44879,0.54386,0.81589,33162
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.0,0.25,0.47976,0.55579,0.81082,35250
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.0,0.5,0.56787,0.58366,0.72546,46961
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.0,1.0,0.61058,0.61645,0.60167,63973
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.5,0.0,0.4818,0.56704,0.81005,35498
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.5,0.25,0.54244,0.58239,0.79294,38757
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.5,0.5,0.60117,0.6083,0.71365,48801
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,1.5,1.0,0.63858,0.64376,0.58872,66532
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,2.0,0.0,0.5354,0.58398,0.79016,38833
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,2.0,0.25,0.56291,0.59649,0.7737,41413
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,2.0,0.5,0.62121,0.62665,0.69375,51445
A_dice,A_dice_s8,10,8,H_aug_dir,05,oracle,2.0,1.0,0.65149,0.6579,0.57564,69117
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.0,0.25,0.29493,0.46157,0.81114,27208
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.0,0.5,0.31804,0.49108,0.80052,31617
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.0,1.0,0.42804,0.5448,0.73833,42499
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.5,0.0,0.3587,0.4873,0.80075,31726
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.5,0.25,0.36475,0.50124,0.7956,33668
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.5,0.5,0.54716,0.56392,0.73307,45672
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,0.5,1.0,0.57133,0.59053,0.66708,53970
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.0,0.0,0.40375,0.55236,0.73745,42730
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.0,0.25,0.42713,0.56077,0.71992,45640
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.0,0.5,0.5851,0.58845,0.66721,54011
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.0,1.0,0.61025,0.61612,0.59943,64311
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.5,0.0,0.45806,0.57839,0.66196,53240
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.5,0.25,0.49851,0.59904,0.61832,60642
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.5,0.5,0.60912,0.63192,0.56725,69856
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,1.5,1.0,0.64009,0.65519,0.53085,77426
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,2.0,0.0,0.48075,0.61593,0.57287,67881
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,2.0,0.25,0.56993,0.62927,0.54752,73257
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,2.0,0.5,0.64143,0.67283,0.50139,83902
A_dice,A_dice_s8,10,8,H_aug_dir,05,shuffled,2.0,1.0,0.66997,0.69231,0.46872,92579
A_dice,A_dice_s8,10,8,H_aug_dir,06,raw,0.0,0.0,0.26727,0.36562,0.79521,26729
A_dice,A_dice_s8,10,8,H_aug_dir,06,isotropic,0.25,0.25,0.26727,0.36562,0.79521,26729
A_dice,A_dice_s8,10,8,H_aug_dir,06,isotropic,0.5,0.5,0.45104,0.48634,0.72678,46386
A_dice,A_dice_s8,10,8,H_aug_dir,06,isotropic,0.75,0.75,0.47584,0.50957,0.66876,54172
A_dice,A_dice_s8,10,8,H_aug_dir,06,isotropic,1.0,1.0,0.51147,0.52895,0.59832,65363
A_dice,A_dice_s8,10,8,H_aug_dir,06,isotropic,1.5,1.5,0.56766,0.60921,0.49558,87700
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.0,0.25,0.26727,0.36562,0.79521,26729
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.0,0.5,0.31495,0.39627,0.77708,33218
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.0,1.0,0.42817,0.47507,0.68028,51311
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.5,0.0,0.31401,0.38986,0.80022,28422
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.5,0.25,0.33673,0.41342,0.80212,30458
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.5,0.5,0.44077,0.48494,0.73324,45482
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,0.5,1.0,0.47474,0.51065,0.6329,59128
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.0,0.0,0.38649,0.44582,0.80298,33004
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.0,0.25,0.41297,0.47174,0.79935,35216
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.0,0.5,0.46842,0.50325,0.72421,47162
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.0,1.0,0.51075,0.52822,0.60321,64523
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.5,0.0,0.42877,0.47314,0.79813,35349
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.5,0.25,0.45158,0.49979,0.784,38728
A_dice,A_dice_s8,10,8,H_aug_dir,06,oracle,1.5,0.5,0.50356,0.522,0.71324,49155
