config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s1,1,rule_iv,05,0.81189,0.78924,69.0,2196.901,9586
A_dice,A_dice_s1,1,rule_iv,06,0.8075,0.78441,104.0,2787.595,9989
A_dice,A_dice_s1,1,rule_iv,07,0.81448,0.80659,88.0,3012.867,8968
A_dice,A_dice_s1,1,rule_iv,08,0.79686,0.78773,90.0,879.913,8585
A_dice,A_dice_s1,1,rule_iv,09,0.80674,0.80628,81.0,1241.631,8726
A_dice,A_dice_s1,1,rule_iv,10,0.80888,0.79036,71.0,3012.934,9137
A_dice,A_dice_s1,1,rule_iv,11,0.80978,0.78926,80.0,3630.031,10456
A_dice,A_dice_s1,1,rule_iv,12,0.824,0.84603,71.0,1934.639,8712
A_dice,A_dice_s1,1,rule_iv,13,0.81798,0.80317,94.0,1604.837,10186
A_dice,A_dice_s1,1,rule_iv,14,0.81825,0.83044,88.0,3771.63,8358
A_dice,A_dice_s1,1,rule_iv,15,0.79959,0.82983,100.0,3625.974,7651
A_dice,A_dice_s1,1,rule_iv,16,0.83799,0.87833,79.0,2435.423,8812
A_dice,A_dice_s1,1,rule_iv,17,0.82037,0.84556,91.0,987.581,7984
A_dice,A_dice_s1,1,rule_iv,18,0.82041,0.87768,65.0,3637.279,7659
A_dice,A_dice_s1,1,rule_iv,19,0.85066,0.88495,65.0,5105.289,8476
A_dice,A_dice_s1,1,rule_iv,20,0.81076,0.85179,90.0,1172.783,7373
A_dice,A_dice_s1,1,tta_i,01,0.83264,0.87601,44.0,4478.982,9312
A_dice,A_dice_s1,1,tta_i,02,0.85565,0.85904,64.0,4799.699,9289
A_dice,A_dice_s1,1,tta_i,03,0.8063,0.79091,58.0,1183.404,9221
A_dice,A_dice_s1,1,tta_i,04,0.83292,0.80246,53.0,2723.493,8926
A_dice,A_dice_s1,1,tta_i,05,0.81369,0.7882,41.0,2509.142,9586
A_dice,A_dice_s1,1,tta_i,06,0.80233,0.77325,53.0,2513.101,9989
A_dice,A_dice_s1,1,tta_i,07,0.82354,0.81301,60.0,2943.579,8968
A_dice,A_dice_s1,1,tta_i,08,0.79676,0.78516,68.0,832.074,8585
A_dice,A_dice_s1,1,tta_i,09,0.81409,0.81407,63.0,1317.888,8726
A_dice,A_dice_s1,1,tta_i,10,0.8124,0.78475,47.0,2728.074,9137
A_dice,A_dice_s1,1,tta_i,11,0.81335,0.78642,64.0,3326.157,10456
A_dice,A_dice_s1,1,tta_i,12,0.83053,0.84714,42.0,1665.219,8712
A_dice,A_dice_s1,1,tta_i,13,0.82689,0.81386,83.0,1787.155,10186
A_dice,A_dice_s1,1,tta_i,14,0.82873,0.84773,62.0,3643.444,8358
A_dice,A_dice_s1,1,tta_i,15,0.81099,0.84664,49.0,3189.797,7651
A_dice,A_dice_s1,1,tta_i,16,0.84016,0.87701,55.0,2153.925,8812
A_dice,A_dice_s1,1,tta_i,17,0.81892,0.83875,75.0,1291.306,7984
A_dice,A_dice_s1,1,tta_i,18,0.8221,0.88171,37.0,3713.917,7659
A_dice,A_dice_s1,1,tta_i,19,0.86221,0.89583,54.0,5129.817,8476
A_dice,A_dice_s1,1,tta_i,20,0.81682,0.86059,74.0,1377.625,7373
A_dice,A_dice_s1,1,tta_iv,01,0.83264,0.87601,44.0,4478.982,9312
A_dice,A_dice_s1,1,tta_iv,02,0.85565,0.85904,64.0,4799.699,9289
A_dice,A_dice_s1,1,tta_iv,03,0.8063,0.79091,58.0,1183.404,9221
A_dice,A_dice_s1,1,tta_iv,04,0.83292,0.80246,53.0,2723.493,8926
A_dice,A_dice_s1,1,tta_iv,05,0.81369,0.7882,41.0,2509.142,9586
A_dice,A_dice_s1,1,tta_iv,06,0.80233,0.77325,53.0,2513.101,9989
A_dice,A_dice_s1,1,tta_iv,07,0.82354,0.81301,60.0,2943.579,8968
A_dice,A_dice_s1,1,tta_iv,08,0.79676,0.78516,68.0,832.074,8585
A_dice,A_dice_s1,1,tta_iv,09,0.81409,0.81407,63.0,1317.888,8726
A_dice,A_dice_s1,1,tta_iv,10,0.8124,0.78475,47.0,2728.074,9137
A_dice,A_dice_s1,1,tta_iv,11,0.81335,0.78642,64.0,3326.157,10456
A_dice,A_dice_s1,1,tta_iv,12,0.83053,0.84714,42.0,1665.219,8712
A_dice,A_dice_s1,1,tta_iv,13,0.82689,0.81386,83.0,1787.155,10186
A_dice,A_dice_s1,1,tta_iv,14,0.82873,0.84773,62.0,3643.444,8358
A_dice,A_dice_s1,1,tta_iv,15,0.81099,0.84664,49.0,3189.797,7651
A_dice,A_dice_s1,1,tta_iv,16,0.84016,0.87701,55.0,2153.925,8812
A_dice,A_dice_s1,1,tta_iv,17,0.81892,0.83875,75.0,1291.306,7984
A_dice,A_dice_s1,1,tta_iv,18,0.8221,0.88171,37.0,3713.917,7659
A_dice,A_dice_s1,1,tta_iv,19,0.86221,0.89583,54.0,5129.817,8476
A_dice,A_dice_s1,1,tta_iv,20,0.81682,0.86059,74.0,1377.625,7373
A_dice,A_dice_s1,1,swa,01,0.82483,0.85845,61.0,4075.363,9312
A_dice,A_dice_s1,1,swa,02,0.85186,0.85356,71.0,4384.205,9289
A_dice,A_dice_s1,1,swa,03,0.79129,0.77676,85.0,767.86,9221
A_dice,A_dice_s1,1,swa,04,0.8227,0.79257,51.0,2674.053,8926
A_dice,A_dice_s1,1,swa,05,0.80389,0.77812,58.0,1719.639,9586
A_dice,A_dice_s1,1,swa,06,0.79547,0.77225,89.0,2417.285,9989
A_dice,A_dice_s1,1,swa,07,0.80983,0.79821,87.0,2667.082,8968
A_dice,A_dice_s1,1,swa,08,0.79167,0.77897,97.0,949.466,8585
A_dice,A_dice_s1,1,swa,09,0.79343,0.79213,81.0,1013.043,8726
A_dice,A_dice_s1,1,swa,10,0.80594,0.78285,75.0,2574.405,9137
A_dice,A_dice_s1,1,swa,11,0.80863,0.78506,88.0,2984.64,10456
A_dice,A_dice_s1,1,swa,12,0.82084,0.83753,61.0,1419.503,8712
A_dice,A_dice_s1,1,swa,13,0.81555,0.79626,102.0,1234.299,10186
A_dice,A_dice_s1,1,swa,14,0.82028,0.82314,72.0,3640.093,8358
A_dice,A_dice_s1,1,swa,15,0.78874,0.8166,86.0,3515.458,7651
A_dice,A_dice_s1,1,swa,16,0.83926,0.87608,73.0,3923.892,8812
A_dice,A_dice_s1,1,swa,17,0.80992,0.8292,101.0,1800.667,7984
A_dice,A_dice_s1,1,swa,18,0.82073,0.87106,60.0,3310.216,7659
A_dice,A_dice_s1,1,swa,19,0.85007,0.87485,82.0,4885.481,8476
A_dice,A_dice_s1,1,swa,20,0.80625,0.83873,86.0,668.16,7373
A_dice,A_dice_s1,1,swa_tta,01,0.83734,0.8731,43.0,4293.427,9312
