config,run,epoch,seed,condition,radius_px,image,erl,skel_px,dice,foreground
A_dice,A_dice_s2,30,2,oracle_all,0,02,9161.659,9289,0.87144,35929
A_dice,A_dice_s2,30,2,raw,0,03,867.483,9221,0.79765,29405
A_dice,A_dice_s2,30,2,closing,6,03,1811.641,9221,0.75968,37987
A_dice,A_dice_s2,30,2,closing_fair,1,03,939.041,9221,0.80031,29728
A_dice,A_dice_s2,30,2,oracle_sever,0,03,1298.451,9221,0.80709,29898
A_dice,A_dice_s2,30,2,oracle_all,0,03,9221.0,9221,0.84003,31681
A_dice,A_dice_s2,30,2,raw,0,04,2862.542,8926,0.83189,28796
A_dice,A_dice_s2,30,2,closing,6,04,3933.363,8926,0.764,36641
A_dice,A_dice_s2,30,2,closing_fair,1,04,2921.508,8926,0.8314,28963
A_dice,A_dice_s2,30,2,oracle_sever,0,04,3277.252,8926,0.83568,28989
A_dice,A_dice_s2,30,2,oracle_all,0,04,8926.0,8926,0.87355,30984
A_dice,A_dice_s2,30,2,raw,0,05,2922.051,9586,0.80609,26895
A_dice,A_dice_s2,30,2,closing,6,05,3329.645,9586,0.74731,34816
A_dice,A_dice_s2,30,2,closing_fair,1,05,2980.743,9586,0.80671,27138
A_dice,A_dice_s2,30,2,oracle_sever,0,05,3308.001,9586,0.81084,27126
A_dice,A_dice_s2,30,2,oracle_all,0,05,9582.001,9586,0.85959,29607
A_dice,A_dice_s2,30,2,raw,0,06,1360.871,9989,0.80063,26930
A_dice,A_dice_s2,30,2,closing,6,06,3394.59,9989,0.73681,36963
A_dice,A_dice_s2,30,2,closing_fair,1,06,1384.306,9989,0.8008,27130
A_dice,A_dice_s2,30,2,oracle_sever,0,06,1585.144,9989,0.80918,27354
A_dice,A_dice_s2,30,2,oracle_all,0,06,9254.356,9989,0.85869,29934
A_dice,A_dice_s2,30,2,raw,0,07,2723.009,8968,0.81458,26832
A_dice,A_dice_s2,30,2,closing,6,07,4012.392,8968,0.7556,34430
A_dice,A_dice_s2,30,2,closing_fair,1,07,3044.631,8968,0.81491,27052
A_dice,A_dice_s2,30,2,oracle_sever,0,07,3336.684,8968,0.8218,27181
A_dice,A_dice_s2,30,2,oracle_all,0,07,8900.258,8968,0.86063,29135
A_dice,A_dice_s2,30,2,raw,0,08,501.383,8585,0.7918,24945
A_dice,A_dice_s2,30,2,closing,6,08,2292.482,8585,0.74389,32015
A_dice,A_dice_s2,30,2,closing_fair,1,08,852.263,8585,0.79262,25190
A_dice,A_dice_s2,30,2,oracle_sever,0,08,598.883,8585,0.80701,25625
A_dice,A_dice_s2,30,2,oracle_all,0,08,8119.764,8585,0.84146,27231
A_dice,A_dice_s2,30,2,raw,0,09,1277.257,8726,0.80397,23736
A_dice,A_dice_s2,30,2,closing,6,09,3484.526,8726,0.74701,30763
A_dice,A_dice_s2,30,2,closing_fair,1,09,1425.989,8726,0.80403,23916
A_dice,A_dice_s2,30,2,oracle_sever,0,09,1513.71,8726,0.81319,24128
A_dice,A_dice_s2,30,2,oracle_all,0,09,8480.974,8726,0.85161,25830
A_dice,A_dice_s2,30,2,raw,0,10,2424.756,9137,0.80847,27134
A_dice,A_dice_s2,30,2,closing,6,10,3582.251,9137,0.71625,36903
A_dice,A_dice_s2,30,2,closing_fair,1,10,2514.688,9137,0.80769,27417
A_dice,A_dice_s2,30,2,oracle_sever,0,10,3045.625,9137,0.81598,27478
A_dice,A_dice_s2,30,2,oracle_all,0,10,8792.259,9137,0.85228,29206
A_dice,A_dice_s2,30,2,raw,0,11,3278.974,10456,0.81183,30136
A_dice,A_dice_s2,30,2,closing,6,11,4419.478,10456,0.72982,39670
A_dice,A_dice_s2,30,2,closing_fair,1,11,3915.197,10456,0.8097,30525
A_dice,A_dice_s2,30,2,oracle_sever,0,11,3482.107,10456,0.81439,30265
A_dice,A_dice_s2,30,2,oracle_all,0,11,10173.384,10456,0.86085,32704
A_dice,A_dice_s2,30,2,raw,0,12,1435.15,8712,0.82622,28011
A_dice,A_dice_s2,30,2,closing,6,12,2315.995,8712,0.72795,39336
A_dice,A_dice_s2,30,2,closing_fair,1,12,1460.128,8712,0.82597,28236
A_dice,A_dice_s2,30,2,oracle_sever,0,12,1552.336,8712,0.82955,28172
A_dice,A_dice_s2,30,2,oracle_all,0,12,8712.0,8712,0.85673,29519
A_dice,A_dice_s2,30,2,raw,0,13,1550.385,10186,0.82009,30629
A_dice,A_dice_s2,30,2,closing,6,13,4703.911,10186,0.74805,39814
A_dice,A_dice_s2,30,2,closing_fair,1,13,3925.863,10186,0.81973,30891
A_dice,A_dice_s2,30,2,oracle_sever,0,13,1665.268,10186,0.82476,30879
A_dice,A_dice_s2,30,2,oracle_all,0,13,9934.041,10186,0.86144,32913
A_dice,A_dice_s2,30,2,raw,0,14,4037.749,8358,0.82613,28438
A_dice,A_dice_s2,30,2,closing,6,14,5020.678,8358,0.74225,37013
A_dice,A_dice_s2,30,2,closing_fair,1,14,4146.799,8358,0.82508,28673
A_dice,A_dice_s2,30,2,oracle_sever,0,14,4225.418,8358,0.82864,28556
A_dice,A_dice_s2,30,2,oracle_all,0,14,8358.0,8358,0.84987,29576
A_dice,A_dice_s2,30,2,raw,0,15,3797.856,7651,0.80756,27035
A_dice,A_dice_s2,30,2,closing,6,15,4154.745,7651,0.6866,38358
A_dice,A_dice_s2,30,2,closing_fair,1,15,3834.498,7651,0.80618,27223
A_dice,A_dice_s2,30,2,oracle_sever,0,15,3922.54,7651,0.81047,27159
A_dice,A_dice_s2,30,2,oracle_all,0,15,7617.076,7651,0.82831,27932
A_dice,A_dice_s2,30,2,raw,0,16,2280.934,8812,0.84447,29941
A_dice,A_dice_s2,30,2,closing,6,16,5078.372,8812,0.76349,38658
A_dice,A_dice_s2,30,2,closing_fair,1,16,2354.533,8812,0.84317,30173
A_dice,A_dice_s2,30,2,oracle_sever,0,16,2341.329,8812,0.84557,29998
A_dice,A_dice_s2,30,2,oracle_all,0,16,8665.243,8812,0.86745,31153
A_dice,A_dice_s2,30,2,raw,0,17,1232.484,7984,0.81827,26416
A_dice,A_dice_s2,30,2,closing,6,17,3298.233,7984,0.75088,34235
A_dice,A_dice_s2,30,2,closing_fair,1,17,1420.434,7984,0.81914,26654
A_dice,A_dice_s2,30,2,oracle_sever,0,17,1521.903,7984,0.823,26634
A_dice,A_dice_s2,30,2,oracle_all,0,17,7984.0,7984,0.85277,28048
A_dice,A_dice_s2,30,2,raw,0,18,3493.63,7659,0.82404,29926
A_dice,A_dice_s2,30,2,closing,6,18,3895.904,7659,0.74601,37499
A_dice,A_dice_s2,30,2,closing_fair,1,18,3504.44,7659,0.82176,30225
A_dice,A_dice_s2,30,2,oracle_sever,0,18,3616.287,7659,0.82536,29989
A_dice,A_dice_s2,30,2,oracle_all,0,18,7547.708,7659,0.84412,30900
A_dice,A_dice_s2,30,2,raw,0,19,5049.827,8476,0.85871,31043
A_dice,A_dice_s2,30,2,closing,6,19,5563.144,8476,0.74411,41168
A_dice,A_dice_s2,30,2,closing_fair,1,19,5100.85,8476,0.85633,31275
A_dice,A_dice_s2,30,2,oracle_sever,0,19,5458.731,8476,0.8613,31176
A_dice,A_dice_s2,30,2,oracle_all,0,19,8233.349,8476,0.87426,31850
A_dice,A_dice_s2,30,2,raw,0,20,1485.142,7373,0.81452,28355
A_dice,A_dice_s2,30,2,closing,6,20,2038.559,7373,0.71438,37999
A_dice,A_dice_s2,30,2,closing_fair,1,20,1518.579,7373,0.81272,28671
A_dice,A_dice_s2,30,2,oracle_sever,0,20,1561.806,7373,0.81663,28449
A_dice,A_dice_s2,30,2,oracle_all,0,20,7299.352,7373,0.83343,29208
A_dice,A_dice_s3,10,3,raw,0,01,4473.876,9312,0.82921,33159
A_dice,A_dice_s3,10,3,closing,6,01,5612.123,9312,0.72679,44752
A_dice,A_dice_s3,10,3,closing_fair,1,01,4482.292,9312,0.82699,33497
