run,config,image,min_size,dice,cldice,b0_pred,b0_gt,betti0_err,n,on,off,off_px,median_off
B_cldice_s0,B_cldice,12,100,0.8218257686935304,0.8365064775031036,6,1,5,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,13,0,0.813693011516012,0.7954056176156828,82,6,76,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,2,0.8137652460671853,0.7957253681837508,69,6,63,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,5,0.8138333991314647,0.7960435968576006,48,6,42,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,10,0.8139531208016564,0.7964097212626716,39,6,33,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,20,0.8138022898100282,0.7954027008728113,23,6,17,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,50,0.8139787696636398,0.7938040175018638,7,6,1,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,13,100,0.8130850139920872,0.7881514837249356,2,6,4,82,48,34,228.0,2.0
B_cldice_s0,B_cldice,14,0,0.8106624158696423,0.8238016512156605,77,1,76,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,2,0.8107772975271027,0.8242277573891873,69,1,68,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,5,0.8114549162159765,0.8266246723781746,49,1,48,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,10,0.812794313638383,0.8296656002087754,30,1,29,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,20,0.8136184140310933,0.8311290570611095,26,1,25,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,50,0.8147670019543507,0.8309549139030475,11,1,10,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,14,100,0.8135397911415196,0.8284653220837238,8,1,7,77,25,52,580.0,4.5
B_cldice_s0,B_cldice,15,0,0.7895782396088019,0.8265834454298685,91,2,89,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,2,0.7896828429499427,0.8270709617566597,79,2,77,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,5,0.7903321414230262,0.8292166897007703,64,2,62,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,10,0.7917505223008069,0.832568192193073,44,2,42,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,20,0.7958912293549693,0.8399153153362141,25,2,23,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,50,0.8007390120575651,0.8458530895527184,9,2,7,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,15,100,0.8039724680432645,0.8429161321102105,2,2,0,91,15,76,1171.0,7.5
B_cldice_s0,B_cldice,16,0,0.8335879891051617,0.8660028543710433,72,2,70,72,24,48,400.0,4.0
B_cldice_s0,B_cldice,16,2,0.8337624798578003,0.8666407627524807,57,2,55,72,24,48,400.0,4.0
