method,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
meijering_s1-3_f0.14,27,0.6145567917451374,0.6450544079105849,1027,74,1030,3,13.92838827718412
meijering_s1-5_f0.08,27,0.302015772026273,0.33140033661195434,242,79,245,3,32.202484376209235
meijering_s1-5_f0.1,27,0.40134730538922153,0.44369629267759825,275,80,278,3,26.832815729997478
meijering_s1-5_f0.12,27,0.48255993414960385,0.5288081771274559,345,75,348,3,21.18962010041709
meijering_s1-5_f0.14,27,0.5383069302229889,0.5912815479478607,462,79,465,3,18.681541692269406
meijering_s1-7_f0.08,27,0.2358391500401507,0.2353514114354927,210,27,213,3,43.829214001622255
meijering_s1-7_f0.1,27,0.32413922155688624,0.3536093428216412,266,66,269,3,31.304951684997057
meijering_s1-7_f0.12,27,0.40635181946016397,0.4493394347129626,317,76,320,3,26.0
meijering_s1-7_f0.14,27,0.46898887429376296,0.5224965853653375,370,69,373,3,21.93171219946131
otsu,27,0.19331593073274753,0.23073392457914452,385,68,388,3,39.355430768027055
frangi_s1-3_f0.08,28,0.5327934276870364,0.5794968208157496,683,16,686,3,13.341664064126334
frangi_s1-3_f0.1,28,0.5811116453847661,0.61835244855692,1056,11,1059,3,12.041594578792296
frangi_s1-3_f0.12,28,0.5966259682289615,0.6137833832396161,1619,15,1622,3,12.083045973594572
frangi_s1-3_f0.14,28,0.5924832623250152,0.5862254282451312,2303,2,2306,3,12.649110640673518
frangi_s1-5_f0.08,28,0.5327934276870364,0.5794968208157496,683,16,686,3,13.341664064126334
frangi_s1-5_f0.1,28,0.5811116453847661,0.61835244855692,1056,11,1059,3,12.041594578792296
frangi_s1-5_f0.12,28,0.5966259682289615,0.6137833832396161,1619,15,1622,3,12.083045973594572
frangi_s1-5_f0.14,28,0.5924832623250152,0.5862254282451312,2303,2,2306,3,12.649110640673518
frangi_s1-7_f0.08,28,0.532443008156988,0.57689950094176,720,17,723,3,13.0
frangi_s1-7_f0.1,28,0.5779060034549697,0.6127076940291603,1158,9,1161,3,12.041594578792296
frangi_s1-7_f0.12,28,0.590192989365892,0.6064526854451008,1774,34,1777,3,12.041594578792296
frangi_s1-7_f0.14,28,0.5846622032866707,0.5783036853466265,2442,60,2445,3,12.649110640673518
sato_s1-3_f0.08,28,0.45628516362645277,0.46487015862601416,136,78,139,3,28.619917851071545
sato_s1-3_f0.1,28,0.5418247226229275,0.5435833744709732,177,75,180,3,22.360679774997898
sato_s1-3_f0.12,28,0.6053892608638571,0.6086852922055488,235,67,238,3,17.88854381999832
sato_s1-3_f0.14,28,0.6457395009129641,0.6531860946060142,337,63,340,3,15.297058540778355
sato_s1-5_f0.08,28,0.3812175131894018,0.38950963300400593,109,79,112,3,37.65833141164624
sato_s1-5_f0.1,28,0.46200423857099604,0.46622155758375095,135,66,138,3,29.154759474226502
sato_s1-5_f0.12,28,0.5318366811080478,0.5304559667031806,155,53,158,3,23.259406699226016
sato_s1-5_f0.14,28,0.5824710894704809,0.58492277649315,194,61,197,3,20.12461179749811
sato_s1-7_f0.08,28,0.3325481340160025,0.32687922350982007,117,58,120,3,40.02374258276007
sato_s1-7_f0.1,28,0.4100372210646293,0.40566290161661983,158,69,161,3,31.016124838541646
sato_s1-7_f0.12,28,0.48568990416174346,0.48213034144484046,170,59,173,3,25.0
sato_s1-7_f0.14,28,0.5410225197808887,0.5437411464789669,214,65,217,3,22.20360331117452
meijering_s1-3_f0.08,28,0.45301458134600037,0.46170745538578484,201,82,204,3,25.238858928247925
meijering_s1-3_f0.1,28,0.5396163915157344,0.5464862669304669,253,75,256,3,21.02379604162864
meijering_s1-3_f0.12,28,0.6015819876591834,0.608790984053542,366,73,369,3,16.492422502470642
meijering_s1-3_f0.14,28,0.6375532562385879,0.6433742703946539,617,66,620,3,14.0
meijering_s1-5_f0.08,28,0.360231276889832,0.34010350423118085,116,67,119,3,45.20840337533999
meijering_s1-5_f0.1,28,0.4405620558850243,0.42095295194945465,171,63,174,3,30.463092423455635
meijering_s1-5_f0.12,28,0.5094197190494946,0.4974687664281091,188,66,191,3,24.166091947189145
meijering_s1-5_f0.14,28,0.5624163116250761,0.5570288792308441,245,61,248,3,21.470910553583888
meijering_s1-7_f0.08,28,0.31576693207701445,0.2824869845867304,116,68,119,3,52.0
meijering_s1-7_f0.1,28,0.39080336948585065,0.36060714664314414,150,62,153,3,34.785054261852174
meijering_s1-7_f0.12,28,0.45992516738873573,0.4389306159126112,184,63,187,3,28.160255680657446
meijering_s1-7_f0.14,28,0.5131388749410386,0.5034449216875406,216,59,219,3,23.45736291875988
otsu,28,0.28103949452576976,0.3203681666221049,487,18,490,3,32.01562118716424
frangi_s1-3_f0.08,29,0.5457931920359667,0.5535742272063915,978,13,983,5,14.265245733414124
frangi_s1-3_f0.1,29,0.5701957278081207,0.5554425263554832,1673,6,1678,5,14.866068747318506
frangi_s1-3_f0.12,29,0.5696132695011479,0.5320811860769286,2403,12,2408,5,15.524174696260024
frangi_s1-3_f0.14,29,0.556328781512605,0.50060672083104,3120,11,3125,5,16.0
frangi_s1-5_f0.08,29,0.5457931920359667,0.5535742272063915,978,13,983,5,14.265245733414124
frangi_s1-5_f0.1,29,0.5701957278081207,0.5554425263554832,1673,6,1678,5,14.866068747318506
frangi_s1-5_f0.12,29,0.5696132695011479,0.5320811860769286,2403,12,2408,5,15.524174696260024
frangi_s1-5_f0.14,29,0.556328781512605,0.50060672083104,3120,11,3125,5,16.0
frangi_s1-7_f0.08,29,0.5391136801541426,0.5462889608010933,1013,21,1018,5,14.142135623730951
frangi_s1-7_f0.1,29,0.5590390483780054,0.550210955738173,1737,47,1742,5,14.7648230602334
frangi_s1-7_f0.12,29,0.5565502144547865,0.529322797418829,2522,66,2527,5,15.297058540778355
frangi_s1-7_f0.14,29,0.5437237394957983,0.49974153266087484,3208,80,3213,5,16.0
sato_s1-3_f0.08,29,0.5244701348747591,0.48363863998068984,98,62,103,5,27.294688127912362
sato_s1-3_f0.1,29,0.589515831211491,0.5524137118600827,93,56,98,5,23.706539182259394
sato_s1-3_f0.12,29,0.6296606097278827,0.5988546250094697,153,49,158,5,19.313207915827967
sato_s1-3_f0.14,29,0.6468618697478992,0.6267244329122208,357,36,362,5,16.1245154965971
sato_s1-5_f0.08,29,0.4740740740740741,0.4306752139028867,111,61,116,5,32.57299494980466
sato_s1-5_f0.1,29,0.5287177593344866,0.4863636340625708,92,51,97,5,27.65863337187866
sato_s1-5_f0.12,29,0.5771236362989197,0.5392746715943776,99,44,104,5,25.059928172283335
sato_s1-5_f0.14,29,0.607733718487395,0.5764746107783957,114,45,119,5,21.470910553583888
sato_s1-7_f0.08,29,0.4394348105330764,0.38298748946475264,129,35,134,5,36.124783736376884
sato_s1-7_f0.1,29,0.49081614803008805,0.4398674195594036,113,44,118,5,31.016124838541646
sato_s1-7_f0.12,29,0.5379700653152752,0.4871893834323486,104,34,109,5,26.35806845485774
sato_s1-7_f0.14,29,0.5722492121848739,0.5369411744364064,142,47,147,5,23.53720459187964
meijering_s1-3_f0.08,29,0.5369299935773925,0.5385975405938697,616,57,621,5,16.1245154965971
meijering_s1-3_f0.1,29,0.5782036579914089,0.5750582499679904,1004,49,1009,5,15.0
meijering_s1-3_f0.12,29,0.5946359607752407,0.5730445995240083,1594,50,1599,5,15.264337522473747
meijering_s1-3_f0.14,29,0.5972951680672269,0.5515128434093294,2260,42,2265,5,15.811388300841896
meijering_s1-5_f0.08,29,0.4840933418968101,0.4662265647401551,366,39,371,5,20.518284528683193
meijering_s1-5_f0.1,29,0.5333436995859978,0.5256774031372426,486,9,491,5,18.384776310850235
meijering_s1-5_f0.12,29,0.5699692110555447,0.5659782115801103,730,15,735,5,17.029386365926403
meijering_s1-5_f0.14,29,0.5924698004201681,0.5779467192267115,1170,36,1175,5,16.55294535724685
meijering_s1-7_f0.08,29,0.4504816955684008,0.42279226137594533,375,37,380,5,22.360679774997898
meijering_s1-7_f0.1,29,0.49964042061070185,0.48737607402511574,458,21,463,5,20.248456731316587
meijering_s1-7_f0.12,29,0.5376853120717578,0.5322912170082448,636,26,641,5,19.0
meijering_s1-7_f0.14,29,0.5622373949579832,0.5598725715162907,950,9,955,5,18.35755975068582
otsu,29,0.3207384833109526,0.2802566523250021,1688,2641,1693,5,21.095023109728988
frangi_s1-3_f0.08,30,0.48509667024704617,0.5197006854577793,1342,25,1344,2,18.439088914585774
frangi_s1-3_f0.1,30,0.505294701249266,0.5174493052808932,2125,34,2127,2,18.788294228055936
frangi_s1-3_f0.12,30,0.5039009058975781,0.4940656563786657,2914,26,2916,2,19.235384061671343
frangi_s1-3_f0.14,30,0.49320474222244903,0.46574708868120085,3543,17,3545,2,19.697715603592208
frangi_s1-5_f0.08,30,0.48509667024704617,0.5197006854577793,1342,25,1344,2,18.439088914585774
frangi_s1-5_f0.1,30,0.505294701249266,0.5174493052808932,2125,34,2127,2,18.788294228055936
frangi_s1-5_f0.12,30,0.5039009058975781,0.4940656563786657,2914,26,2916,2,19.235384061671343
frangi_s1-5_f0.14,30,0.49320474222244903,0.46574708868120085,3543,17,3545,2,19.697715603592208
frangi_s1-7_f0.08,30,0.49279448621553884,0.5191307406324172,1466,4,1468,2,18.35755975068582
frangi_s1-7_f0.1,30,0.5086152787057847,0.514497101823926,2277,2,2279,2,18.852028656901695
frangi_s1-7_f0.12,30,0.503568127195415,0.49097624560813236,3052,10,3054,2,19.235384061671343
frangi_s1-7_f0.14,30,0.4924563283495773,0.4641677002189251,3634,23,3636,2,19.6468827043885
sato_s1-3_f0.08,30,0.458780880773362,0.46455244963581627,175,59,177,2,31.622776601683793
sato_s1-3_f0.1,30,0.5468829091498106,0.5575787411775849,227,56,229,2,26.076809620810597
sato_s1-3_f0.12,30,0.5953041227583656,0.6065241919665617,430,50,432,2,21.400934559032695
sato_s1-3_f0.14,30,0.6128489054447109,0.6122748514425042,837,40,839,2,19.235384061671343
sato_s1-5_f0.08,30,0.4018080916577157,0.3967308393501241,115,54,117,2,46.09772228646444
sato_s1-5_f0.1,30,0.4934297110692664,0.4916556375379129,178,47,180,2,31.064449134018133
