run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
soft_f0_s0,soft,ah,im0163,Q1_dimmest,31,913,0.51469,0.41734,0.29424,0.71756
soft_f0_s0,soft,ah,im0163,Q2,33,2555,0.54116,0.58286,0.42686,0.91857
soft_f0_s0,soft,ah,im0163,Q3,10,7366,0.76066,0.89137,0.81481,0.98381
soft_f0_s0,soft,ah,im0163,Q4_clearest,2,21917,0.95752,0.99354,0.98974,0.99736
soft_f0_s0,soft,vk,im0163,Q1_dimmest,149,5005,0.37171,0.35445,0.59877,0.25174
soft_f0_s0,soft,vk,im0163,Q2,95,8784,0.66517,0.74741,0.86192,0.65976
soft_f0_s0,soft,vk,im0163,Q3,17,12118,0.91206,0.96813,0.98426,0.95253
soft_f0_s0,soft,vk,im0163,Q4_clearest,5,23198,0.98164,0.9973,0.99879,0.99581
soft_f0_s0,soft,ah,im0235,Q1_dimmest,83,3057,0.53651,0.54386,0.50732,0.58608
soft_f0_s0,soft,ah,im0235,Q2,53,6171,0.71524,0.7514,0.67105,0.85361
soft_f0_s0,soft,ah,im0235,Q3,14,10228,0.86606,0.92422,0.87769,0.97596
soft_f0_s0,soft,ah,im0235,Q4_clearest,7,18245,0.965,0.98576,0.9832,0.98834
soft_f0_s0,soft,vk,im0235,Q1_dimmest,222,12730,0.32965,0.27506,0.81463,0.16547
soft_f0_s0,soft,vk,im0235,Q2,84,13578,0.68031,0.6806,0.9262,0.53794
soft_f0_s0,soft,vk,im0235,Q3,19,14180,0.88895,0.9358,0.98486,0.8914
soft_f0_s0,soft,vk,im0235,Q4_clearest,8,19269,0.98534,0.99098,0.99975,0.98237
soft_f0_s0,soft,ah,im0236,Q1_dimmest,61,3357,0.51238,0.4945,0.46202,0.53188
soft_f0_s0,soft,ah,im0236,Q2,53,6379,0.74703,0.76674,0.73221,0.80468
soft_f0_s0,soft,ah,im0236,Q3,16,11731,0.88407,0.93344,0.9168,0.9507
soft_f0_s0,soft,ah,im0236,Q4_clearest,5,16893,0.97166,0.98728,0.98654,0.98801
soft_f0_s0,soft,vk,im0236,Q1_dimmest,218,11583,0.35617,0.32838,0.81445,0.20565
soft_f0_s0,soft,vk,im0236,Q2,106,12232,0.69864,0.7042,0.93695,0.56407
soft_f0_s0,soft,vk,im0236,Q3,17,14892,0.90597,0.94208,0.98506,0.90269
soft_f0_s0,soft,vk,im0236,Q4_clearest,6,17515,0.98481,0.99319,0.99975,0.98672
soft_f0_s0,soft,ah,im0239,Q1_dimmest,65,3436,0.39228,0.43173,0.66234,0.32023
soft_f0_s0,soft,ah,im0239,Q2,94,6687,0.66667,0.72068,0.7978,0.65716
soft_f0_s0,soft,ah,im0239,Q3,54,13176,0.87367,0.91589,0.90721,0.92473
soft_f0_s0,soft,ah,im0239,Q4_clearest,6,13272,0.96871,0.98775,0.98601,0.98949
soft_f0_s0,soft,vk,im0239,Q1_dimmest,122,9318,0.23625,0.23172,0.78961,0.13578
soft_f0_s0,soft,vk,im0239,Q2,149,12844,0.56138,0.59465,0.92747,0.43761
soft_f0_s0,soft,vk,im0239,Q3,51,17078,0.87448,0.91839,0.98599,0.85947
soft_f0_s0,soft,vk,im0239,Q4_clearest,7,13831,0.98568,0.9918,0.99832,0.98537
soft_f0_s0,soft,ah,im0240,Q1_dimmest,84,10396,0.5102,0.54661,0.6201,0.4887
soft_f0_s0,soft,ah,im0240,Q2,63,13292,0.79434,0.82738,0.80887,0.84675
soft_f0_s0,soft,ah,im0240,Q3,4,12242,0.93511,0.97958,0.96768,0.99177
soft_f0_s0,soft,ah,im0240,Q4_clearest,0,7313,0.9949,0.9994,0.99881,1.0
soft_f0_s0,soft,vk,im0240,Q1_dimmest,226,23754,0.36837,0.31696,0.84559,0.19503
soft_f0_s0,soft,vk,im0240,Q2,84,19679,0.75673,0.77018,0.95761,0.64411
soft_f0_s0,soft,vk,im0240,Q3,6,13776,0.95891,0.9804,0.99291,0.9682
soft_f0_s0,soft,vk,im0240,Q4_clearest,0,7375,0.99885,1.0,1.0,1.0
soft_f0_s0,soft,ah,im0255,Q1_dimmest,82,2995,0.43309,0.46269,0.43008,0.50066
soft_f0_s0,soft,ah,im0255,Q2,75,7010,0.70074,0.74564,0.67069,0.83944
soft_f0_s0,soft,ah,im0255,Q3,25,11944,0.8975,0.94368,0.9159,0.9732
soft_f0_s0,soft,ah,im0255,Q4_clearest,0,15954,0.98293,0.99638,0.99388,0.9989
soft_f0_s0,soft,vk,im0255,Q1_dimmest,283,11173,0.2784,0.24215,0.77143,0.14361
soft_f0_s0,soft,vk,im0255,Q2,156,13470,0.67072,0.66593,0.90721,0.52602
soft_f0_s0,soft,vk,im0255,Q3,20,14513,0.93516,0.95939,0.9844,0.93561
soft_f0_s0,soft,vk,im0255,Q4_clearest,3,16378,0.99491,0.99867,0.99913,0.99821
