run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
soft_f0_s0,soft,im0239,Q2,85,7.0,0.42353,0.25882,0.75567,0.63601,0.41226,0.48631,0.69448
soft_f0_s0,soft,im0239,Q3,93,31.0,0.13978,0.46237,0.83654,0.46356,0.22284,0.54368,0.87468
soft_f0_s0,soft,im0239,Q4_clearest,105,21.0,0.00952,0.39048,0.5,0.02855,0.09645,0.98573,0.94132
soft_f0_s0,soft,im0240,Q1_dimmest,84,6.0,0.44048,0.11905,0.6636,0.61851,0.46975,0.52976,0.68676
soft_f0_s0,soft,im0240,Q2,101,20.0,0.36634,0.32673,0.80617,0.53191,0.27154,0.62921,0.83058
soft_f0_s0,soft,im0240,Q3,74,33.0,0.04054,0.58108,0.95305,0.52257,0.10332,0.60561,0.94834
soft_f0_s0,soft,im0240,Q4_clearest,39,26.0,0.0,0.4359,nan,nan,0.035,nan,0.9825
soft_f0_s0,soft,im0255,Q1_dimmest,67,7.0,0.73134,0.08955,0.66327,0.6408,0.47182,0.51152,0.72705
soft_f0_s0,soft,im0255,Q2,139,17.0,0.47482,0.29496,0.80946,0.53551,0.29316,0.58549,0.83011
soft_f0_s0,soft,im0255,Q3,123,20.0,0.13821,0.4065,0.84184,0.4792,0.1593,0.64701,0.91287
soft_f0_s0,soft,im0255,Q4_clearest,178,17.0,0.01124,0.35393,0.90057,0.24347,0.05494,0.87826,0.97253
soft_f0_s0,soft,im0291,Q1_dimmest,38,10.0,0.47368,0.21053,0.72222,0.57094,0.41461,0.46817,0.75565
soft_f0_s0,soft,im0291,Q2,36,25.5,0.19444,0.47222,0.90148,0.72574,0.28412,0.59106,0.81953
soft_f0_s0,soft,im0291,Q3,27,20.0,0.07407,0.44444,0.72,0.39698,0.23276,0.80151,0.83833
soft_f0_s0,soft,im0291,Q4_clearest,17,16.0,0.0,0.35294,nan,nan,0.06882,nan,0.96559
soft_f0_s0,soft,im0319,Q1_dimmest,38,9.0,0.68421,0.07895,0.55449,0.55778,0.4977,0.54831,0.65075
soft_f0_s0,soft,im0319,Q2,52,29.0,0.23077,0.34615,0.68958,0.45015,0.29412,0.64798,0.81679
soft_f0_s0,soft,im0319,Q3,23,41.0,0.08696,0.6087,0.95238,0.72361,0.20359,0.42857,0.8982
soft_f0_s0,soft,im0319,Q4_clearest,11,66.0,0.0,0.54545,nan,nan,0.12071,nan,0.88663
soft_f0_s0,soft,im0324,Q1_dimmest,36,4.0,0.63889,0.11111,0.67893,0.62678,0.46582,0.39814,0.67993
soft_f0_s0,soft,im0324,Q2,81,10.0,0.61728,0.23457,0.70774,0.59899,0.43257,0.49917,0.71177
soft_f0_s0,soft,im0324,Q3,51,20.0,0.35294,0.45098,0.81481,0.5416,0.26222,0.58184,0.83859
soft_f0_s0,soft,im0324,Q4_clearest,16,31.5,0.0,0.5625,nan,nan,0.10894,nan,0.94553
ah_f1_s0,ah,im0001,Q1_dimmest,39,7.0,0.33333,0.20513,0.73669,0.50615,0.30733,0.64254,0.81523
ah_f1_s0,ah,im0001,Q2,96,14.0,0.19792,0.3125,0.72727,0.38201,0.2315,0.64794,0.84928
