run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
A_dice_s3,A_dice,stare,im0239,0.7100355871886121,0.7862603430133182,141,30,144,3,16.0312195418814,1048.66,8654.32,182,18
A_dice_s3,A_dice,stare,im0240,0.677107148300564,0.7610926869200757,147,24,154,7,19.697715603592208,791.24,3646.87,141,21
A_dice_s3,A_dice,stare,im0255,0.8272980165946122,0.833323043081523,165,21,168,3,8.602325267042627,7242.02,10587.03,211,6
A_dice_s3,A_dice,stare,im0291,0.7627239801753717,0.7793428628596265,83,8,88,5,38.0644168376783,938.31,4590.45,113,9
A_dice_s3,A_dice,stare,im0319,0.6796382414196457,0.7395225276975682,110,15,117,7,23.194827009486403,166.34,2075.24,134,25
A_dice_s3,A_dice,stare,im0324,0.41754257013352936,0.5137438295472648,121,11,126,5,47.51841748206689,38.07,3671.72,83,20
A_dice_s4,A_dice,stare,im0001,0.6744863467140209,0.754269983730718,194,15,198,4,13.0,504.86,7318.51,159,30
A_dice_s4,A_dice,stare,im0002,0.7372290579406499,0.7682750940764977,109,18,111,2,17.69180601295413,1142.82,7020.85,150,21
A_dice_s4,A_dice,stare,im0003,0.7113279488335862,0.7684130822505292,120,6,129,9,15.01331855134909,579.78,4712.73,148,29
A_dice_s4,A_dice,stare,im0004,0.582442148510664,0.6954054595958222,119,15,130,11,30.364452901377952,158.13,2264.78,145,24
A_dice_s4,A_dice,stare,im0005,0.7612975051869845,0.7928091927278598,190,12,199,9,20.248456731316587,489.39,2831.52,101,19
A_dice_s4,A_dice,stare,im0044,0.7340676504563721,0.7743145938883941,172,8,188,16,16.1245154965971,523.32,1471.06,117,22
A_dice_s4,A_dice,stare,im0077,0.760788966335459,0.8026933327336776,146,1,153,7,13.0,2166.95,7243.06,82,7
A_dice_s4,A_dice,stare,im0081,0.7337100017784588,0.7913824521183789,187,1,190,3,14.035668847618199,2474.23,4825.14,86,10
A_dice_s4,A_dice,stare,im0082,0.7581629375869822,0.8059868163857187,149,14,157,8,11.180339887498949,1342.32,6053.12,128,20
A_dice_s4,A_dice,stare,im0139,0.7713401033876512,0.8085548166960473,167,10,171,4,11.0,774.15,8206.02,124,19
A_dice_s4,A_dice,stare,im0162,0.7944889035558123,0.8253654401265453,138,18,142,4,8.246211251235321,7453.07,10366.0,171,7
A_dice_s4,A_dice,stare,im0163,0.7893206172871853,0.8461821901514373,99,5,100,1,10.0,2932.94,8302.0,76,7
A_dice_s4,A_dice,stare,im0235,0.7844127360595744,0.8313632840517949,148,14,157,9,8.0,1551.43,7740.86,162,15
A_dice_s4,A_dice,stare,im0236,0.7690836444619114,0.8273059746245912,143,21,146,3,9.219544457292887,1440.76,7869.82,153,22
A_dice_s4,A_dice,stare,im0239,0.6883835640570178,0.7768211766835963,166,32,169,3,15.033296378372908,941.78,8654.32,168,22
A_dice_s4,A_dice,stare,im0240,0.6879724105742179,0.763812979713252,149,25,156,7,21.2602916254693,642.53,3646.87,138,22
A_dice_s4,A_dice,stare,im0255,0.8334193643536613,0.8388318857510328,150,29,153,3,7.810249675906654,3613.82,10587.03,256,7
A_dice_s4,A_dice,stare,im0291,0.7640554125291161,0.7875717795890357,54,9,59,5,35.4682957019364,678.46,4590.45,98,5
A_dice_s4,A_dice,stare,im0319,0.6715407682421819,0.7303580318254068,92,16,99,7,25.500974279003575,184.26,2075.24,113,26
A_dice_s4,A_dice,stare,im0324,0.45164474495965257,0.5540400863044873,102,14,107,5,49.24733473351606,39.1,3671.72,77,15
A_dice_s5,A_dice,stare,im0001,0.6415653631954009,0.7203558261108796,177,15,181,4,16.97056274847714,601.25,7318.51,156,32
