run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
vk_f0_s0,vk,im0324,Q4_clearest,23,16.0,0.0,0.0,nan,nan,0.01165,nan,0.99418
soft_f0_s0,soft,im0162,Q1_dimmest,39,4.0,0.74359,0.0,0.55862,0.63071,0.54138,0.47332,0.72563
soft_f0_s0,soft,im0162,Q2,117,13.0,0.55556,0.0,0.79024,0.59856,0.33555,0.56445,0.8
soft_f0_s0,soft,im0162,Q3,136,24.0,0.20588,0.0,0.88823,0.50778,0.16196,0.64992,0.91103
soft_f0_s0,soft,im0162,Q4_clearest,181,17.0,0.0221,0.0,0.86723,0.31415,0.02608,0.84292,0.98696
soft_f0_s0,soft,im0163,Q1_dimmest,21,10.0,0.80952,0.0,1.0,0.6662,0.05425,0.5085,0.97287
soft_f0_s0,soft,im0163,Q2,64,21.5,0.67188,0.0,0.82614,0.5311,0.24801,0.68171,0.85046
soft_f0_s0,soft,im0163,Q3,57,30.0,0.15789,0.0,0.86343,0.463,0.09045,0.68802,0.95477
soft_f0_s0,soft,im0163,Q4_clearest,132,23.0,0.00758,0.0,0.98473,0.49414,0.0284,0.24707,0.9858
soft_f0_s0,soft,im0235,Q1_dimmest,57,7.0,0.63158,0.0,0.73677,0.59579,0.38043,0.5496,0.78893
soft_f0_s0,soft,im0235,Q2,72,18.5,0.48611,0.0,0.80463,0.55909,0.29663,0.55322,0.83992
soft_f0_s0,soft,im0235,Q3,65,36.0,0.13846,0.0,0.94246,0.39085,0.07986,0.66717,0.96007
soft_f0_s0,soft,im0235,Q4_clearest,131,18.0,0.00763,0.0,1.0,0.89555,0.03235,0.55222,0.98053
soft_f0_s0,soft,im0236,Q1_dimmest,49,7.0,0.65306,0.0,0.76103,0.63845,0.39805,0.5481,0.73436
soft_f0_s0,soft,im0236,Q2,80,13.0,0.5,0.0,0.73938,0.57451,0.35169,0.56098,0.77306
soft_f0_s0,soft,im0236,Q3,67,28.0,0.1194,0.0,0.89619,0.41422,0.12344,0.68398,0.92735
soft_f0_s0,soft,im0236,Q4_clearest,135,18.0,0.00741,0.0,0.98507,0.41679,0.03719,0.20839,0.97728
soft_f0_s0,soft,im0239,Q1_dimmest,31,5.0,0.54839,0.0,0.80672,0.70705,0.3739,0.43136,0.78427
soft_f0_s0,soft,im0239,Q2,85,7.0,0.42353,0.0,0.73696,0.63419,0.41737,0.48722,0.69192
soft_f0_s0,soft,im0239,Q3,93,31.0,0.13978,0.0,0.84231,0.46673,0.21632,0.5421,0.87794
soft_f0_s0,soft,im0239,Q4_clearest,105,21.0,0.00952,0.0,0.59615,0.02855,0.06898,0.98573,0.95506
soft_f0_s0,soft,im0240,Q1_dimmest,84,6.0,0.44048,0.0,0.659,0.61538,0.4766,0.53132,0.68333
soft_f0_s0,soft,im0240,Q2,101,20.0,0.35644,0.0,0.80983,0.54033,0.27075,0.62209,0.82933
soft_f0_s0,soft,im0240,Q3,74,33.0,0.04054,0.0,0.95305,0.52257,0.07047,0.60561,0.96476
soft_f0_s0,soft,im0240,Q4_clearest,39,26.0,0.0,0.0,nan,nan,0.00651,nan,0.99674
soft_f0_s0,soft,im0255,Q1_dimmest,67,7.0,0.73134,0.0,0.66893,0.64434,0.47233,0.50975,0.7268
soft_f0_s0,soft,im0255,Q2,139,17.0,0.46763,0.0,0.81414,0.54211,0.28864,0.57994,0.83269
soft_f0_s0,soft,im0255,Q3,123,20.0,0.13821,0.0,0.88679,0.48243,0.13007,0.6454,0.92748
soft_f0_s0,soft,im0255,Q4_clearest,178,17.0,0.01124,0.0,0.97159,0.24347,0.02127,0.87826,0.98937
soft_f0_s0,soft,im0291,Q1_dimmest,38,10.0,0.5,0.0,0.69252,0.55357,0.42334,0.48982,0.74934
soft_f0_s0,soft,im0291,Q2,36,25.5,0.16667,0.0,0.92778,0.78194,0.28538,0.55528,0.82018
soft_f0_s0,soft,im0291,Q3,27,20.0,0.07407,0.0,0.8,0.39698,0.19745,0.80151,0.85599
soft_f0_s0,soft,im0291,Q4_clearest,17,16.0,0.0,0.0,nan,nan,0.04362,nan,0.97819
soft_f0_s0,soft,im0319,Q1_dimmest,38,9.0,0.71053,0.0,0.54882,0.55506,0.50383,0.55607,0.63856
soft_f0_s0,soft,im0319,Q2,52,29.0,0.23077,0.0,0.70208,0.45015,0.28635,0.64798,0.82067
soft_f0_s0,soft,im0319,Q3,23,41.0,0.08696,0.0,0.95238,0.72361,0.16509,0.42857,0.91746
soft_f0_s0,soft,im0319,Q4_clearest,11,66.0,0.0,0.0,nan,nan,0.04633,nan,0.92382
soft_f0_s0,soft,im0324,Q1_dimmest,36,4.0,0.63889,0.0,0.67224,0.62678,0.47514,0.39814,0.67527
soft_f0_s0,soft,im0324,Q2,81,10.0,0.61728,0.0,0.7129,0.59869,0.41763,0.49932,0.71924
soft_f0_s0,soft,im0324,Q3,51,20.0,0.31373,0.0,0.83571,0.55718,0.22754,0.55563,0.85767
soft_f0_s0,soft,im0324,Q4_clearest,16,31.5,0.0,0.0,nan,nan,0.05614,nan,0.97193
ah_f1_s0,ah,im0001,Q1_dimmest,39,7.0,0.33333,0.0,0.73077,0.50615,0.3136,0.64254,0.81209
ah_f1_s0,ah,im0001,Q2,96,14.0,0.19792,0.0,0.71292,0.37903,0.23266,0.64942,0.8487
ah_f1_s0,ah,im0001,Q3,84,24.0,0.11905,0.0,0.93784,0.41915,0.04497,0.73237,0.97752
ah_f1_s0,ah,im0001,Q4_clearest,43,22.0,0.09302,0.0,0.88462,0.08792,0.00744,0.95604,0.99628
ah_f1_s0,ah,im0002,Q1_dimmest,46,10.5,0.63043,0.0,0.81947,0.47373,0.16395,0.70948,0.91409
ah_f1_s0,ah,im0002,Q2,42,37.0,0.2381,0.0,0.75,0.27748,0.11086,0.8343,0.94118
ah_f1_s0,ah,im0002,Q3,39,23.0,0.07692,0.0,0.71296,0.08705,0.07242,0.95648,0.96379
ah_f1_s0,ah,im0002,Q4_clearest,37,16.0,0.10811,0.0,0.84091,0.19472,0.01352,0.8366,0.99324
ah_f1_s0,ah,im0003,Q1_dimmest,19,5.0,0.63158,0.0,0.47619,0.39326,0.45821,0.78693,0.55335
ah_f1_s0,ah,im0003,Q2,40,9.5,0.525,0.0,0.77444,0.33855,0.13631,0.75471,0.93184
ah_f1_s0,ah,im0003,Q3,62,20.0,0.43548,0.0,0.81799,0.21675,0.07773,0.89083,0.95343
