run,trained_on,image,band,n_px,contested_frac,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed,auroc
soft_f1_s0,soft,im0004,Q3,3923,0.10553,0.07212,0.01657,0.9551,0.99041,0.79375
soft_f1_s0,soft,im0004,Q4_clearest,190,0.07895,0.04098,0.00308,0.97951,0.99846,0.89676
soft_f1_s0,soft,im0005,Q1_dimmest,10820,0.81885,0.21749,0.30333,0.27238,0.56346,0.37486
soft_f1_s0,soft,im0005,Q2,11538,0.54481,0.29986,0.19674,0.57058,0.83967,0.63718
soft_f1_s0,soft,im0005,Q3,12507,0.29879,0.24603,0.0875,0.7606,0.94686,0.74559
soft_f1_s0,soft,im0005,Q4_clearest,16858,0.10802,0.10039,0.01634,0.93749,0.99142,0.75839
soft_f1_s0,soft,im0044,Q1_dimmest,10572,0.87476,0.15998,0.31614,0.14977,0.60067,0.28456
soft_f1_s0,soft,im0044,Q2,11459,0.63732,0.28972,0.21013,0.43027,0.8351,0.58859
soft_f1_s0,soft,im0044,Q3,14003,0.29108,0.25412,0.067,0.7087,0.95489,0.81607
soft_f1_s0,soft,im0044,Q4_clearest,13856,0.09209,0.15048,0.01646,0.88486,0.99061,0.86071
soft_f1_s0,soft,im0077,Q1_dimmest,7126,0.88633,0.21273,0.2387,0.22556,0.73593,0.45621
soft_f1_s0,soft,im0077,Q2,10714,0.77739,0.2982,0.17173,0.50637,0.8844,0.66147
soft_f1_s0,soft,im0077,Q3,14332,0.42862,0.28281,0.06186,0.73504,0.96574,0.84826
soft_f1_s0,soft,im0077,Q4_clearest,23814,0.09368,0.14117,0.01042,0.9147,0.99475,0.93692
soft_f1_s0,soft,im0081,Q1_dimmest,10165,0.92514,0.16826,0.23518,0.15627,0.71622,0.38212
soft_f1_s0,soft,im0081,Q2,13744,0.77423,0.2836,0.14523,0.43537,0.89428,0.67719
soft_f1_s0,soft,im0081,Q3,17484,0.38183,0.2585,0.0478,0.72946,0.96877,0.86586
soft_f1_s0,soft,im0081,Q4_clearest,17465,0.06814,0.11453,0.00853,0.92399,0.9956,0.92472
soft_f1_s0,soft,im0082,Q1_dimmest,8734,0.861,0.14864,0.27141,0.15088,0.62155,0.29719
soft_f1_s0,soft,im0082,Q2,10144,0.70268,0.31543,0.18004,0.44196,0.83458,0.64736
soft_f1_s0,soft,im0082,Q3,13510,0.35729,0.31353,0.07377,0.70869,0.95537,0.84603
soft_f1_s0,soft,im0082,Q4_clearest,20602,0.06315,0.15726,0.01132,0.90637,0.99366,0.94224
soft_f1_s0,soft,im0139,Q1_dimmest,17354,0.86418,0.21602,0.2387,0.23972,0.68939,0.44392
soft_f1_s0,soft,im0139,Q2,17885,0.6463,0.29321,0.143,0.53282,0.8929,0.69693
soft_f1_s0,soft,im0139,Q3,17437,0.2712,0.2491,0.04262,0.68935,0.97355,0.84383
soft_f1_s0,soft,im0139,Q4_clearest,12621,0.04255,0.16648,0.00663,0.87869,0.99579,0.9168
